no,movie,content,rate
14335037,속닥속닥,별반개가 최저점수냐?ㅋㅋ진짜 개같이 영화만들었네.캐릭터들도 고구마 백배먹은것처럼 답답하고 특히 여주는 더답답함장산범 짝퉁도아니고 소재도 삼류도 제작비가 아깝다,1
14335036,아수라,실화라서 더 재밌음ㅋㅋ,10
14335035,에이리언 VS. 프레데터,7점대 영화는 아니다 평점업,10
14335034,어벤져스: 인피니티 워,스파이더맨 돌아와ㅠㅠㅠㅠ,9
14335033,아수라,대단한 영화입니다..민주연합 경원대학교 안남시장 은실장  인권...더 놀라운건 2016년도 영화라는거에요,10
14335032,모아나,모아나 계속 볼 수록 너마 재밌어,8
14335031,허스토리,대한민국국민이라면 꼭 봐야하는 영화입니다. 우리의 현실이자 역사인 얘기입니다  박스오피스 1위 가즈아!!,10
14335030,호비와 매직 아일랜드,"7세,초1도 잼나게 봤대요~^^",10
14335029,아수라,리얼다큐였네....,10
14335028,앤트맨과 와스프,아나까나카나리까니키붜우이,10
14335027,인크레더블 2,박평식이 7점 줬다 보라는거다,10
14335026,아수라,실화를 바탕으로한 다큐라니.... 정말 재밌게 본 영화입니다.,10
14335025,마녀,정말 정말  재밌네요.최고,10
14335024,미드나잇 선,난왜이렇게 재미없었지.. 감정선도 이해되지않고 진부한 스토리여뜸.... 그냥 나갈려던거 남주얼굴땜에 참음여,1
14335023,아수라,몇수 앞을 내다본겁니까..,10
14335021,속닥속닥,알바 개많네 ㅋㅋㅋ이딴영화가 아직 5.7이네,1
14335020,인크레더블 2,역시 믿고보는 디즈니~ 3편도 나오면 좋겠어요,10
14335019,아수라,정말 대단한 영화네요.. 볼 때는 몰랐는데 이렇게 현실을 반영한 다큐였다니...,10
14335016,아수라,다큐 ㅋㅋㅋㅋ 다큐였다니 ㅋㅋㅋ,10
14335015,인크레더블 2,쏘쏘---막재밌지도 안재밌지도 지루한부분 조금있음,6
14335014,인크레더블 2,1편 못보고 썸머리 영상만 보고 봤음에도 좋았어요~ps.영화전 영상 너무 감동적ㅜㅜ,8
14335013,"그 시절, 우리가 좋아했던 소녀",나는 내일과 함께 최고의 멜로 영화,10
14335012,앤트맨과 와스프,꾸르잼! 앤트맨 진심 개작은듯 ㅋㅋㅋ 비둘기 눈알에 새삼 다시 깨닫..^^,8
14335011,인크레더블 2,"별로였어요.1편이랑 비슷한 전개에 스토리 전개도 지루했고, 보다가 그냥 자버렸네요",2
14335010,앤트맨과 와스프,황당 ... 씨리즈 3편은절대안봐,4
14335009,인크레더블 2,아이들과 보기에 재밌었습니다,8
14335008,아수라,저는 처음에 나왔을 때 이런 이야기 인 줄은 몰랐지만 재미있게 봤어요 이제라도 재평가 되는 것 같아서 좋네요 감독님의 그 마음을 몰라줘서 미안해요 우리가,10
14335007,아수라,감독이 시대를 앞서갔다,10
14335006,인크레더블 2,생각보단 별로...캐릭터들의 특성도 못살렸고 육아 스토리와 영웅활약은 완전 따로 놀고...악당 캐릭터도 전작 신드롬 같은 존재감을 보여주지 못하고..이런 영화가 왜 그렇게 평판이 좋은건지 이해하기 어렵다.,5
14335005,마녀,영화시간이 넘 길어서 지루할 줄 알았는데 시계 볼 틈이 없음 스토리가 탄탄함 액션도 시원 근데 좀 잔인해서 별하나뺌ㅎ,8
14335004,스카이스크래퍼,시간가는줄모르겠더라,4
